combination,accuracy,precision,recall
10,0.9919354838709677,0.993103448275862,0.9923076923076923
1,0.9130434782608695,0.931859131859132,0.9097435897435897
2,0.9565217391304348,0.9620046620046621,0.9580143168378463
3,0.9420289855072463,0.944412984123774,0.9425165297535564
4,0.9274193548387096,0.9463235294117647,0.885
5,0.9927536231884058,0.99375,0.993103448275862
6,0.8629032258064516,0.9016748768472906,0.7905413105413105
7,0.7338709677419355,0.8771847507331378,0.6877035595105673
8,0.9758064516129032,0.978974358974359,0.9801864801864802
9,0.9838709677419355,0.981140350877193,0.9838095238095239
average,0.9280154277699861,0.9510428093107176,0.912292645096643
